row_id,is_warmup,example_id,sub_q_idx,main_question,sub_question,doc_tokens,query_tokens,full_tokens,fusion_selected_doc_tokens,fusion_reprocess_prefill_tokens,full_ttft_s,fusion_ttft_s,fusion_storage_time_s,fusion_selection_time_s,fusion_selection_score_forward_time_s,fusion_reprocess_prefill_time_s,speedup_full_over_fusion,ttft_reduction_pct
0,True,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,1313,27,2132,196,223,0.42133092880249023,0.6583441523835063,0.02445200877264142,0.13556868163868785,0.12127596512436867,0.49832346197217703,0.6399858300207877,-56.25345954417749
1,True,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,1295,25,2112,194,219,0.10777568817138672,0.22076631430536509,0.02312286989763379,0.10243060626089573,0.10170976771041751,0.09521283814683557,0.4881890088644178,-104.83869604645788
2,True,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,1441,21,2254,216,237,0.11500167846679688,0.22379894834011793,0.02388963010162115,0.10451814904808998,0.10378471901640296,0.0953911691904068,0.5138615678033631,-94.60494083547908
3,True,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1154,26,1972,173,199,0.09483480453491211,0.4315608777105808,0.021573107689619064,0.10518587799742818,0.10424244683235884,0.3048018920235336,0.21974838182276454,-355.06592208107276
4,True,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,1353,27,2172,202,229,0.10913729667663574,0.22217353619635105,0.024135947227478027,0.1029222309589386,0.1021552006714046,0.09511535800993443,0.4912254562135749,-103.57251183766425
5,False,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1178,32,2002,176,208,0.09576702117919922,0.22277562599629164,0.02167308609932661,0.10433253785595298,0.10353057365864515,0.09677000204101205,0.42988105521379333,-132.62248658589263
6,False,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2075,24,2891,311,335,0.15283823013305664,0.2529108375310898,0.029957031831145287,0.10517373494803905,0.10373626882210374,0.11778007075190544,0.6043166501881065,-65.47616215583807
7,False,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,1490,21,2303,223,244,0.1054079532623291,0.2237905291840434,0.024319895077496767,0.10160641092807055,0.10078751621767879,0.0978642231784761,0.47101168064016913,-112.30895986291966
8,False,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,1587,27,2406,238,265,0.11815404891967773,0.2391937174834311,0.02366568800061941,0.10282442532479763,0.10201812908053398,0.11270360415801406,0.4939680279347732,-102.44225201798822
9,False,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,1466,28,2286,219,247,0.11512207984924316,0.22339648567140102,0.02473073871806264,0.1032570619136095,0.10244711302220821,0.09540868503972888,0.5153262796558888,-94.05181522427965
10,False,9,0,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,1998,25,2815,299,324,0.12964510917663574,0.24705492239445448,0.026291921734809875,0.10305553395301104,0.10216392623260617,0.11770746670663357,0.5247622994924218,-90.56247008736213
11,False,9,1,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,2722,33,3547,408,441,0.19204282760620117,0.2654569325968623,0.03374471189454198,0.1041203448548913,0.10310889082029462,0.12759187584742904,0.7234425024335233,-38.22798586427945
12,False,10,0,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,1505,25,2322,225,250,0.11750388145446777,0.22325965715572238,0.024174407124519348,0.10269531700760126,0.10170749435201287,0.09638993302360177,0.526310408926721,-90.00194239731094
13,False,10,1,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,1738,24,2554,260,284,0.12480664253234863,0.24332117615267634,0.027172637172043324,0.10330169182270765,0.10243327962234616,0.11284684715792537,0.5129296368929123,-94.9585143992716
14,False,11,0,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?,1230,27,2049,184,211,0.10764718055725098,0.21993177011609077,0.022695595398545265,0.10204383870586753,0.10127199301496148,0.09519233601167798,0.48945716437615866,-104.30797070353597
15,False,11,1,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,1205,26,2023,180,206,0.09227108955383301,0.22154557146131992,0.02428351016715169,0.10225941194221377,0.10153750283643603,0.09500264935195446,0.4164880793834455,-140.10291038350132
16,False,12,0,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?,2011,32,2835,301,333,0.15241169929504395,0.2485884209163487,0.02632395178079605,0.10407651588320732,0.10315918689593673,0.11818795325234532,0.6131086022962078,-63.10324080510543
17,False,12,1,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?,2101,30,2923,315,345,0.15287280082702637,0.2517749471589923,0.02973676286637783,0.10402482189238071,0.10311092901974916,0.11801336240023375,0.6071803511510196,-64.69571159612131
18,False,13,0,What year was the father of Katherine of England crowned?,Who is Katherine of England?,1142,21,1955,171,192,0.09461450576782227,0.2173903207294643,0.021181914024055004,0.10135554289445281,0.10061574820429087,0.09485286381095648,0.4352286957870915,-129.76426179609896
19,False,13,1,What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?,2083,25,2900,312,337,0.15282559394836426,0.2508624428883195,0.030277136713266373,0.10267827613279223,0.101833235938102,0.11790703004226089,0.6092007722989452,-64.14949643387567
20,False,14,0,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who played the little girl in the 1947 film Miracle on 34th Street?,1057,36,1885,158,194,0.08900618553161621,0.21975508192554116,0.020830463152378798,0.10424008080735803,0.10350210499018431,0.09468453796580434,0.40502446974934514,-146.898662843473
21,False,14,1,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,1681,24,2497,252,276,0.1241915225982666,0.24263637512922287,0.02704976312816143,0.10286068497225642,0.10202199220657349,0.11272592702880502,0.5118421445759107,-95.37273563679575
22,False,15,0,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,678,23,1493,101,124,0.07325339317321777,0.20350174978375435,0.019310664851218462,0.10181034309789538,0.10107823088765144,0.0823807418346405,0.35996443888594826,-177.80521961971965
23,False,15,1,What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?",1121,28,1941,168,196,0.09436368942260742,0.22085769195109606,0.022829888854175806,0.10314266616478562,0.10238696914166212,0.09488513693213463,0.4272601447066744,-134.04944561036154
24,False,16,0,"In 2002, what company merged with the top PC manufacturer from 1994?",Who was the top PC manufacturer in 1994?,1515,28,2335,227,255,0.11391234397888184,0.22144631296396255,0.023300704080611467,0.1026202067732811,0.1018460001796484,0.09552540211006999,0.5144016283414913,-94.40062878963882
25,False,16,1,"In 2002, what company merged with the top PC manufacturer from 1994?",What company did Compaq merge with in 2002?,2189,30,3011,328,358,0.15869784355163574,0.2518816855736077,0.030079347547143698,0.10354565503075719,0.10265543684363365,0.1182566829957068,0.6300491565722006,-58.71777456865856
26,False,17,0,"In the King's Speech, who played the person who was the King of England in 1950?",Who was the King of England in 1950?,1415,28,2235,212,240,0.11478042602539062,0.22109542088583112,0.0228517297655344,0.10295286402106285,0.10213931137695909,0.09529082709923387,0.5191442932898224,-92.62467351090203
27,False,17,1,"In the King's Speech, who played the person who was the King of England in 1950?",Which actor played King George VI in the film 'The King's Speech'?,1936,30,2758,290,320,0.1343860626220703,0.24695892771705985,0.029961452819406986,0.10348508786410093,0.1026301747187972,0.11351238703355193,0.5441636140242561,-83.76825907279883
28,False,18,0,Whose sister played Susie in miracle on 34th street?,Who played Susie in Miracle on 34th Street?,1020,28,1840,153,181,0.08859658241271973,0.21868490427732468,0.02148315729573369,0.1027114330790937,0.10201863199472427,0.09449031390249729,0.40513350798263703,-146.832212171119
29,False,18,1,Whose sister played Susie in miracle on 34th street?,Who is Natalie Wood's brother?,1206,22,2020,180,202,0.09547281265258789,0.22435710718855262,0.02495082328096032,0.10430798586457968,0.10360521916300058,0.09509829804301262,0.42553950640998106,-134.99580765987957
30,False,19,0,What team was Anna Benson's husband on?,Who is Anna Benson's husband?,1034,22,1848,155,177,0.08867502212524414,0.21661238791421056,0.02042785193771124,0.10183069109916687,0.10113435704261065,0.09435384487733245,0.4093718876335177,-144.27666632918155
31,False,19,1,What team was Anna Benson's husband on?,What team did Kris Benson play for in Major League Baseball?,1580,27,2399,237,264,0.11440873146057129,0.24418004509061575,0.028714207001030445,0.10303476173430681,0.10217513469979167,0.11243107635527849,0.46854251099066657,-113.42780570446895
32,False,20,0,What is the record label for the singer who originally sang You Belong To Me.,Who originally sang the song You Belong To Me?,1519,26,2337,227,253,0.11757683753967285,0.22131425002589822,0.02340445015579462,0.10257195308804512,0.10176703380420804,0.09533784678205848,0.531266457202435,-88.22946309575832
33,False,20,1,What is the record label for the singer who originally sang You Belong To Me.,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,2265,41,3098,339,380,0.16023468971252441,0.253033559769392,0.02946306997910142,0.10552071081474423,0.10462231002748013,0.11804977897554636,0.6332546949841673,-57.91434440529526
34,False,21,0,When did the crowning of the person under whom the Chapter House was built happen?,Who was the person under whom the Chapter House was built?,1749,27,2568,262,289,0.12667107582092285,0.23908227728679776,0.024482802022248507,0.10209640627726912,0.1012524887919426,0.11250306898728013,0.5298221066757326,-88.74259631677293
35,False,21,1,When did the crowning of the person under whom the Chapter House was built happen?,When was Henry III crowned?,2118,21,2931,317,338,0.1516883373260498,0.24820558307692409,0.029315954074263573,0.10142117040231824,0.10058188112452626,0.11746845860034227,0.6111399084807791,-63.62865296849631
36,False,24,0,What record label does the artist who sang you belong to me belong to?,Who sang the song 'You Belong to Me'?,1556,26,2374,233,259,0.11700177192687988,0.23795090010389686,0.023794471751898527,0.10208247834816575,0.10129743907600641,0.11207395000383258,0.49170552360084885,-103.37375766634027
37,False,24,1,What record label does the artist who sang you belong to me belong to?,What record label is Joni James signed to?,1997,25,2814,299,324,0.13330960273742676,0.2476013619452715,0.027991170063614845,0.10239508282393217,0.10151210706681013,0.11721510905772448,0.5384041577561791,-85.73407831164232
38,False,25,0,What place does the administrative territorial entity that Juba is located in share a border with?,What is the administrative territorial entity that contains Juba?,789,26,1607,118,144,0.07566118240356445,0.21508024772629142,0.01980951288715005,0.10140179889276624,0.10075442586094141,0.09386893594637513,0.35178117564682176,-184.26762693066087
39,False,25,1,What place does the administrative territorial entity that Juba is located in share a border with?,What places share a border with Central Equatoria?,1127,25,1944,169,194,0.09373307228088379,0.2223193608224392,0.02568889781832695,0.10202434612438083,0.10131507134065032,0.09460611687973142,0.4216145275613041,-137.1834779470679
40,False,26,0,Who played the monarch at the end of WW2 in The King's Speech?,Who played King George VI in The King's Speech?,1534,26,2352,230,256,0.1168212890625,0.22500804672017694,0.02720828913152218,0.10255969176068902,0.10174461174756289,0.09524006582796574,0.5191871613719689,-92.6087689374806
41,False,27,0,Who is the spouse of a cast member from King of the Mountain?,Who are the cast members of King of the Mountain?,1337,26,2155,200,226,0.10831046104431152,0.22014583600685,0.022767294198274612,0.10241009388118982,0.101498207077384,0.09496844792738557,0.49199413901674416,-103.25445380274476
42,False,27,1,Who is the spouse of a cast member from King of the Mountain?,Who is Harry Hamlin's spouse?,1444,23,2259,216,239,0.11417365074157715,0.22340296767652035,0.02439046511426568,0.10381972370669246,0.10306547489017248,0.09519277885556221,0.5110659537293909,-95.66946158371947
43,False,32,0,Who played king whose regal Name did Albert Adopt in the king's speech?,What was the regnal name adopted by King George VI?,1439,27,2258,215,242,0.1140899658203125,0.2202418497763574,0.022935949731618166,0.10226561827585101,0.10149055579677224,0.09504028176888824,0.5180212840391784,-93.04226116013588
44,False,32,1,Who played king whose regal Name did Albert Adopt in the king's speech?,Who played King George VI in the film 'The King's Speech'?,1722,29,2543,258,287,0.11930561065673828,0.241030587349087,0.026471938006579876,0.10209406726062298,0.10129582975059748,0.11246458208188415,0.4949812053685401,-102.02787280689702
45,False,33,0,What administrative territorial entity contains the place where KPRM is licensed to broadcast to?,Where is KPRM licensed to broadcast?,775,24,1591,116,140,0.07480049133300781,0.21536436257883906,0.019849912729114294,0.10166245186701417,0.10099741024896502,0.0938519979827106,0.34732065434282505,-187.91837960000603
46,False,35,0,What year did the author of Prince Prigio die?,Who is the author of Prince Prigio?,1174,25,1991,176,201,0.09124994277954102,0.22184644639492035,0.021482073236256838,0.10570778697729111,0.1049910900183022,0.0946565861813724,0.4113202814937241,-143.11954576333187
47,False,35,1,What year did the author of Prince Prigio die?,What year did Andrew Lang die?,1215,22,2029,182,204,0.09292078018188477,0.21998804155737162,0.023184060119092464,0.10207838471978903,0.10134623385965824,0.09472559671849012,0.42239014231894767,-136.74794930344228
48,False,36,0,In which county is Mark Dismore's birthplace located?,Where was Mark Dismore born?,1463,23,2278,219,242,0.11428141593933105,0.23054565396159887,0.02304476173594594,0.10181783000007272,0.10102276830002666,0.10568306222558022,0.4956997192337726,-101.7350345781412
49,False,36,1,In which county is Mark Dismore's birthplace located?,"Which county is Greenfield, Indiana located in?",1820,25,2637,273,298,0.12806367874145508,0.24172168225049973,0.02679702313616872,0.10233895806595683,0.10150025924667716,0.11258570104837418,0.529798061759064,-88.75116241077711
50,False,37,0,Who was the sibling of Nannina de' Medici?,Who were the parents of Nannina de' Medici?,1072,28,1892,160,188,0.08823561668395996,0.21852202154695988,0.022119442000985146,0.10187565162777901,0.10114515013992786,0.09452692791819572,0.40378363727061867,-147.65738571268378
51,False,37,1,Who was the sibling of Nannina de' Medici?,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",1291,50,2133,193,243,0.10813760757446289,0.22386880312114954,0.023932399228215218,0.10482941893860698,0.10401196498423815,0.09510698495432734,0.48304009342446347,-107.02215273904119
52,False,38,0,What county is the NRHEG High School located in?,Where is NRHEG High School located?,809,24,1625,121,145,0.0778512954711914,0.21489408751949668,0.018915437161922455,0.10136208916082978,0.10072294203564525,0.09461656119674444,0.3622775124705476,-176.0314856918694
53,False,38,1,What county is the NRHEG High School located in?,"Which county is New Richland, Minnesota located in?",992,26,1810,148,174,0.08755826950073242,0.21924583613872528,0.02198072662577033,0.10217190440744162,0.10148358577862382,0.09509320510551333,0.3993611511295974,-150.39991926392662
54,False,39,0,Who founded the political party of Dimuthu Bandara Abayakoon?,What is the name of the political party of Dimuthu Bandara Abayakoon?,965,34,1791,144,178,0.08167624473571777,0.21695002960041165,0.020042071118950844,0.10293186083436012,0.10225754091516137,0.09397609764710069,0.37647491860753723,-165.62194466996277
55,False,39,1,Who founded the political party of Dimuthu Bandara Abayakoon?,Who founded the Janatha Vimukthi Peramuna political party?,1355,30,2177,203,233,0.11342620849609375,0.2217287984676659,0.02404718939214945,0.1027932078577578,0.10204176930710673,0.09488840121775866,0.511553795808055,-95.48286186018635
56,False,40,0,When did military instruction start at the place where Larry Alcala was educated?,Where did Larry Alcala study?,1089,22,1903,163,185,0.08565163612365723,0.21696466766297817,0.020901495590806007,0.10153088113293052,0.10076756309717894,0.09453229093924165,0.39477227811444443,-153.31059333150546
57,False,40,1,When did military instruction start at the place where Larry Alcala was educated?,When did military instruction begin at the University of the Philippines?,1515,27,2334,227,254,0.116455078125,0.22356171393767,0.02487147320061922,0.10348809277638793,0.10269845789298415,0.09520214796066284,0.520907967978221,-91.97249062656108
58,False,43,0,What county shares a border with Cedar Springs?,Where is Cedar Springs located?,838,21,1651,125,146,0.07787632942199707,0.21389649203047156,0.01924087619408965,0.10075020883232355,0.10003713192418218,0.09390540700405836,0.3640841824133462,-174.66175360090102
59,False,43,1,What county shares a border with Cedar Springs?,"Which counties share a border with Falls County, Texas?",991,26,1809,148,174,0.08763384819030762,0.22069304902106524,0.023953868076205254,0.1026154849678278,0.101865965873003,0.09412369597703218,0.3970847680931851,-151.83539645754607
60,False,44,0,Bancroft's county borders what county?,Where is Bancroft located?,998,22,1812,149,171,0.08764219284057617,0.2158550526946783,0.020105887670069933,0.10166324116289616,0.10097607504576445,0.09408592386171222,0.4060233557031621,-146.29125047946397
61,False,44,1,Bancroft's county borders what county?,"Which county is Bancroft, Ontario located in?",1107,26,1925,166,192,0.09364628791809082,0.21729629253968596,0.020869463682174683,0.10206023883074522,0.10133060533553362,0.09436659002676606,0.4309612779103799,-132.03940847046445
62,False,44,2,Bancroft's county borders what county?,Which counties border Hastings County in Ontario?,1603,23,2418,240,263,0.1171109676361084,0.24055176507681608,0.026887570042163134,0.10161132318899035,0.10081528220325708,0.1120528718456626,0.4868431025592808,-105.4049846332647
63,False,45,0,Who is the father of Empress Wang's husband?,Who is Empress Wang's husband?,1538,23,2353,230,253,0.11660075187683105,0.220518596470356,0.023503027390688658,0.10177341708913445,0.10097639309242368,0.09524215199053288,0.5287570016459158,-89.122791166301
64,False,45,1,Who is the father of Empress Wang's husband?,Who was the father of Yang Pu (Emperor Rui of Wu)?,1820,30,2642,273,303,0.1281442642211914,0.2439034623093903,0.027953343000262976,0.1032366193830967,0.10243219416588545,0.11271349992603064,0.5253892790527142,-90.33506009163665
65,False,46,0,Who played the king that was king of england in 1951 in the king's speech?,Who was the king of England in 1951?,1520,28,2340,228,256,0.11670660972595215,0.2205967828631401,0.02337348787114024,0.10208808816969395,0.10131825692951679,0.09513520682230592,0.5290494639641132,-89.01824273804246
66,False,46,1,Who played the king that was king of england in 1951 in the king's speech?,Which actor played King George VI in the film 'The King's Speech'?,1936,30,2758,290,320,0.1330580711364746,0.24560298072174191,0.029862382914870977,0.10279869614169002,0.10195680102333426,0.11294190166518092,0.5417608155465504,-84.58330157952807
67,False,50,0,When was John's eldest son crowned?,Who is John's eldest son?,1672,22,2486,250,272,0.12040948867797852,0.23845754703506827,0.024295315146446228,0.10204370319843292,0.10125397006049752,0.11211852869018912,0.5049514690355795,-98.03883369424138
68,False,50,1,When was John's eldest son crowned?,When was John's eldest son crowned?,1921,23,2736,288,311,0.13258147239685059,0.2413748214021325,0.025506624951958656,0.10180757381021976,0.10098653472959995,0.11406062263995409,0.5492763148479713,-82.0577317769072
69,False,50,2,When was John's eldest son crowned?,When was John's eldest son crowned?,1921,23,2736,288,311,0.13270854949951172,0.24033890757709742,0.025589129887521267,0.1018915600143373,0.10105379391461611,0.11285821767523885,0.552172558481571,-81.10280647591715
70,False,50,3,When was John's eldest son crowned?,When was John's eldest son crowned?,2829,23,3644,424,447,0.20103168487548828,0.26463299663737416,0.03431245917454362,0.10236485535278916,0.1014216742478311,0.12795568211004138,0.7596622017282351,-31.637456454328692
71,False,51,0,What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,Who played Thelma in Thelma and Louise?,1068,27,1887,160,187,0.08550333976745605,0.2175085418857634,0.020655568689107895,0.10208168858662248,0.10135564720258117,0.09477128461003304,0.3931033651651384,-154.3860186950857
72,False,51,1,What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,What character did Geena Davis play in the movie A League of Their Own?,1533,31,2356,229,260,0.11688113212585449,0.2428598296828568,0.026993637904524803,0.10314603196457028,0.10232757776975632,0.11272015981376171,0.48126992544829655,-107.78360481771499
73,False,52,0,"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",Who played Thelma in Thelma and Louise?,1068,27,1887,160,187,0.08543848991394043,0.21839142311364412,0.02150840312242508,0.10261284420266747,0.10169272078201175,0.09427017578855157,0.39121724056663565,-155.61245679040337
74,False,52,1,"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",Which character did Geena Davis play in the film A League of Their Own?,1338,31,2161,200,231,0.10853743553161621,0.21951532177627087,0.022172605153173208,0.10248393379151821,0.10169965121895075,0.09485878283157945,0.49444127477460154,-102.24848753896305
75,False,52,2,"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",Who played the husband of Dottie Hinson in the film A League of Their Own?,1728,33,2553,259,292,0.12355327606201172,0.24443739047273993,0.028291072230786085,0.10377920512109995,0.10294743487611413,0.1123671131208539,0.5054598063866608,-97.83966744034869
76,False,53,0,Who is the child of Chiang Hsiao-wen's father?,Who is Chiang Hsiao-wen's father?,1415,27,2234,212,239,0.11405658721923828,0.2228360273875296,0.023478110786527395,0.1033416073769331,0.10257509490475059,0.09601630922406912,0.5118408749088171,-95.37322027634995
77,False,54,0,"The actor who played Thelma in ""Thelma and Louise"" also played which character in ""A League of Their Own""?",Who played Thelma in the movie 'Thelma and Louise'?,977,30,1799,146,176,0.085052490234375,0.21709052007645369,0.020278674084693193,0.10263758013024926,0.10187994409352541,0.09417426586151123,0.39178352976639286,-155.24299109670739
78,False,54,1,"The actor who played Thelma in ""Thelma and Louise"" also played which character in ""A League of Their Own""?",Which character did Geena Davis play in the movie 'A League of Their Own'?,1794,32,2618,269,301,0.12691378593444824,0.24470524303615093,0.028685184195637703,0.10332323517650366,0.10250576259568334,0.11269682366400957,0.5186394225141263,-92.8121844561021
79,False,55,0,"What is the movie starring Preity Zinta, Madhuri Dixit and the spouse of Kajol?","Movies starring Preity Zinta, Madhuri Dixit, and Ajay Devgn",1494,33,2319,224,257,0.1129605770111084,0.23964691534638405,0.024585879407823086,0.10311115207150578,0.10231314692646265,0.11194988386705518,0.4713625328656367,-112.15093060547794
