example_id,sub_q_idx,offline10_count,online_draft10_count,intersection,union,jaccard,offline10_recall_of_online10,offline10_precision_vs_online10,online10_missing_by_offline10
0,0,148,244,148,244,0.6065573770491803,0.6065573770491803,1.0,0.39344262295081966
1,0,136,229,136,229,0.5938864628820961,0.5938864628820961,1.0,0.40611353711790393
2,0,160,257,160,257,0.622568093385214,0.622568093385214,1.0,0.377431906614786
3,0,80,167,80,167,0.47904191616766467,0.47904191616766467,1.0,0.5209580838323353
3,1,149,247,149,247,0.6032388663967612,0.6032388663967612,1.0,0.3967611336032389
4,0,117,211,117,211,0.5545023696682464,0.5545023696682464,1.0,0.44549763033175355
4,1,213,344,213,344,0.6191860465116279,0.6191860465116279,1.0,0.3808139534883721
6,0,155,254,155,254,0.610236220472441,0.610236220472441,1.0,0.38976377952755903
7,0,115,225,115,225,0.5111111111111111,0.5111111111111111,1.0,0.4888888888888889
7,1,202,307,202,307,0.6579804560260586,0.6579804560260586,1.0,0.34201954397394135
9,0,130,258,130,258,0.5038759689922481,0.5038759689922481,1.0,0.49612403100775193
9,1,323,496,323,496,0.6512096774193549,0.6512096774193549,1.0,0.3487903225806452
10,0,95,199,95,199,0.47738693467336685,0.47738693467336685,1.0,0.5226130653266332
10,1,227,341,227,341,0.6656891495601173,0.6656891495601173,1.0,0.3343108504398827
11,0,92,184,92,184,0.5,0.5,1.0,0.5
11,1,195,285,195,285,0.6842105263157895,0.6842105263157895,1.0,0.3157894736842105
12,0,93,229,93,229,0.40611353711790393,0.40611353711790393,1.0,0.5938864628820961
12,1,264,403,264,403,0.6550868486352357,0.6550868486352357,1.0,0.34491315136476425
13,0,87,169,87,169,0.514792899408284,0.514792899408284,1.0,0.48520710059171596
13,1,225,358,225,358,0.6284916201117319,0.6284916201117319,1.0,0.3715083798882682
14,0,83,175,83,175,0.4742857142857143,0.4742857142857143,1.0,0.5257142857142857
14,1,184,296,184,296,0.6216216216216216,0.6216216216216216,1.0,0.3783783783783784
15,0,52,112,52,112,0.4642857142857143,0.4642857142857143,1.0,0.5357142857142857
15,1,129,217,129,217,0.5944700460829493,0.5944700460829493,1.0,0.4055299539170507
16,0,108,215,108,215,0.5023255813953489,0.5023255813953489,1.0,0.49767441860465117
16,1,218,361,218,361,0.6038781163434903,0.6038781163434903,1.0,0.3961218836565097
17,0,104,206,104,206,0.5048543689320388,0.5048543689320388,1.0,0.49514563106796117
17,1,235,365,235,365,0.6438356164383562,0.6438356164383562,1.0,0.3561643835616438
18,0,45,128,45,128,0.3515625,0.3515625,1.0,0.6484375
18,1,156,242,156,242,0.6446280991735537,0.6446280991735537,1.0,0.35537190082644626
19,0,130,207,130,207,0.6280193236714976,0.6280193236714976,1.0,0.3719806763285024
19,1,132,242,132,242,0.5454545454545454,0.5454545454545454,1.0,0.45454545454545453
20,0,104,209,104,209,0.49760765550239233,0.49760765550239233,1.0,0.5023923444976076
20,1,282,440,282,440,0.6409090909090909,0.6409090909090909,1.0,0.35909090909090907
21,0,94,212,94,212,0.44339622641509435,0.44339622641509435,1.0,0.5566037735849056
21,1,230,360,230,360,0.6388888888888888,0.6388888888888888,1.0,0.3611111111111111
24,0,78,185,78,185,0.42162162162162165,0.42162162162162165,1.0,0.5783783783783784
24,1,237,365,237,365,0.6493150684931507,0.6493150684931507,1.0,0.3506849315068493
100,0,98,194,98,194,0.5051546391752577,0.5051546391752577,1.0,0.4948453608247423
100,1,195,289,195,289,0.6747404844290658,0.6747404844290658,1.0,0.32525951557093424
101,0,48,119,48,119,0.40336134453781514,0.40336134453781514,1.0,0.5966386554621849
101,1,173,290,173,290,0.596551724137931,0.596551724137931,1.0,0.40344827586206894
102,0,88,178,88,178,0.4943820224719101,0.4943820224719101,1.0,0.5056179775280899
102,1,222,330,222,330,0.6727272727272727,0.6727272727272727,1.0,0.32727272727272727
103,0,46,152,46,152,0.3026315789473684,0.3026315789473684,1.0,0.6973684210526315
103,1,212,297,212,297,0.7138047138047138,0.7138047138047138,1.0,0.28619528619528617
104,0,218,367,218,367,0.5940054495912807,0.5940054495912807,1.0,0.40599455040871935
105,0,176,331,176,331,0.5317220543806647,0.5317220543806647,1.0,0.46827794561933533
105,1,326,518,326,518,0.6293436293436293,0.6293436293436293,1.0,0.37065637065637064
109,0,191,321,191,321,0.5950155763239875,0.5950155763239875,1.0,0.40498442367601245
112,0,66,137,66,137,0.48175182481751827,0.48175182481751827,1.0,0.5182481751824818
112,1,170,255,170,255,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333
113,0,98,197,98,197,0.49746192893401014,0.49746192893401014,1.0,0.5025380710659898
113,1,212,304,212,304,0.6973684210526315,0.6973684210526315,1.0,0.3026315789473684
114,0,93,207,93,207,0.4492753623188406,0.4492753623188406,1.0,0.5507246376811594
114,1,231,326,231,326,0.7085889570552147,0.7085889570552147,1.0,0.29141104294478526
117,0,92,187,92,187,0.4919786096256685,0.4919786096256685,1.0,0.5080213903743316
117,1,193,272,193,272,0.7095588235294118,0.7095588235294118,1.0,0.29044117647058826
118,0,151,246,151,246,0.6138211382113821,0.6138211382113821,1.0,0.3861788617886179
119,0,91,198,91,198,0.4595959595959596,0.4595959595959596,1.0,0.5404040404040404
119,1,209,295,209,295,0.7084745762711865,0.7084745762711865,1.0,0.29152542372881357
120,0,198,338,198,338,0.5857988165680473,0.5857988165680473,1.0,0.41420118343195267
121,0,91,208,91,208,0.4375,0.4375,1.0,0.5625
121,1,251,378,251,378,0.6640211640211641,0.6640211640211641,1.0,0.335978835978836
123,0,137,260,137,260,0.5269230769230769,0.5269230769230769,1.0,0.47307692307692306
123,1,167,272,167,272,0.6139705882352942,0.6139705882352942,1.0,0.3860294117647059
123,2,238,344,238,344,0.6918604651162791,0.6918604651162791,1.0,0.3081395348837209
123,3,326,443,326,443,0.7358916478555305,0.7358916478555305,1.0,0.26410835214446954
125,0,200,338,200,338,0.591715976331361,0.591715976331361,1.0,0.40828402366863903
126,0,77,172,77,172,0.4476744186046512,0.4476744186046512,1.0,0.5523255813953488
126,1,194,299,194,299,0.6488294314381271,0.6488294314381271,1.0,0.3511705685618729
127,0,120,196,120,196,0.6122448979591837,0.6122448979591837,1.0,0.3877551020408163
128,0,181,294,181,294,0.6156462585034014,0.6156462585034014,1.0,0.3843537414965986
129,0,209,333,209,333,0.6276276276276276,0.6276276276276276,1.0,0.37237237237237236
130,0,63,138,63,138,0.45652173913043476,0.45652173913043476,1.0,0.5434782608695652
130,1,199,301,199,301,0.6611295681063123,0.6611295681063123,1.0,0.3388704318936877
131,0,78,154,78,154,0.5064935064935064,0.5064935064935064,1.0,0.4935064935064935
131,1,185,274,185,274,0.6751824817518248,0.6751824817518248,1.0,0.3248175182481752
133,0,113,202,113,202,0.5594059405940595,0.5594059405940595,1.0,0.4405940594059406
133,1,187,283,187,283,0.6607773851590106,0.6607773851590106,1.0,0.3392226148409894
135,0,88,175,88,175,0.5028571428571429,0.5028571428571429,1.0,0.49714285714285716
135,1,223,317,223,317,0.7034700315457413,0.7034700315457413,1.0,0.29652996845425866
136,0,65,133,65,133,0.48872180451127817,0.48872180451127817,1.0,0.5112781954887218
136,1,168,271,168,271,0.6199261992619927,0.6199261992619927,1.0,0.3800738007380074
138,0,104,207,104,207,0.5024154589371981,0.5024154589371981,1.0,0.4975845410628019
138,1,295,420,295,420,0.7023809523809523,0.7023809523809523,1.0,0.2976190476190476
141,0,87,166,87,166,0.5240963855421686,0.5240963855421686,1.0,0.4759036144578313
141,1,214,315,214,315,0.6793650793650794,0.6793650793650794,1.0,0.32063492063492066
142,0,123,243,123,243,0.5061728395061729,0.5061728395061729,1.0,0.49382716049382713
142,1,238,396,238,396,0.601010101010101,0.601010101010101,1.0,0.398989898989899
143,0,87,177,87,177,0.4915254237288136,0.4915254237288136,1.0,0.5084745762711864
143,1,161,246,161,246,0.6544715447154471,0.6544715447154471,1.0,0.34552845528455284
144,0,69,151,69,151,0.45695364238410596,0.45695364238410596,1.0,0.543046357615894
144,1,155,249,155,249,0.6224899598393574,0.6224899598393574,1.0,0.37751004016064255
145,0,86,165,86,165,0.5212121212121212,0.5212121212121212,1.0,0.47878787878787876
145,1,165,264,165,264,0.625,0.625,1.0,0.375
146,0,100,177,100,177,0.5649717514124294,0.5649717514124294,1.0,0.4350282485875706
146,1,196,312,196,312,0.6282051282051282,0.6282051282051282,1.0,0.3717948717948718
147,0,98,171,98,171,0.5730994152046783,0.5730994152046783,1.0,0.4269005847953216
147,1,216,352,216,352,0.6136363636363636,0.6136363636363636,1.0,0.38636363636363635
149,0,164,285,164,285,0.5754385964912281,0.5754385964912281,1.0,0.4245614035087719
150,0,48,127,48,127,0.3779527559055118,0.3779527559055118,1.0,0.6220472440944882
150,1,230,344,230,344,0.6686046511627907,0.6686046511627907,1.0,0.3313953488372093
151,0,89,163,89,163,0.5460122699386503,0.5460122699386503,1.0,0.4539877300613497
151,1,166,258,166,258,0.6434108527131783,0.6434108527131783,1.0,0.35658914728682173
152,0,104,222,104,222,0.46846846846846846,0.46846846846846846,1.0,0.5315315315315315
152,1,229,345,229,345,0.663768115942029,0.663768115942029,1.0,0.336231884057971
153,0,155,250,155,250,0.62,0.62,1.0,0.38
154,0,176,278,176,278,0.6330935251798561,0.6330935251798561,1.0,0.3669064748201439
155,0,106,204,106,204,0.5196078431372549,0.5196078431372549,1.0,0.4803921568627451
155,1,204,306,204,306,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333
156,0,114,192,114,192,0.59375,0.59375,1.0,0.40625
156,1,188,290,188,290,0.6482758620689655,0.6482758620689655,1.0,0.35172413793103446
158,0,78,177,78,177,0.4406779661016949,0.4406779661016949,1.0,0.559322033898305
158,1,182,266,182,266,0.6842105263157895,0.6842105263157895,1.0,0.3157894736842105
160,0,95,176,95,176,0.5397727272727273,0.5397727272727273,1.0,0.4602272727272727
160,1,224,356,224,356,0.6292134831460674,0.6292134831460674,1.0,0.3707865168539326
161,0,117,201,117,201,0.582089552238806,0.582089552238806,1.0,0.417910447761194
161,1,177,299,177,299,0.5919732441471572,0.5919732441471572,1.0,0.4080267558528428
162,0,136,239,136,239,0.5690376569037657,0.5690376569037657,1.0,0.4309623430962343
163,0,55,149,55,149,0.3691275167785235,0.3691275167785235,1.0,0.6308724832214765
163,1,269,395,269,395,0.6810126582278481,0.6810126582278481,1.0,0.3189873417721519
164,0,138,253,138,253,0.5454545454545454,0.5454545454545454,1.0,0.45454545454545453
164,1,243,402,243,402,0.6044776119402985,0.6044776119402985,1.0,0.39552238805970147
165,0,182,301,182,301,0.6046511627906976,0.6046511627906976,1.0,0.3953488372093023
166,0,81,177,81,177,0.4576271186440678,0.4576271186440678,1.0,0.5423728813559322
166,1,247,357,247,357,0.6918767507002801,0.6918767507002801,1.0,0.3081232492997199
167,0,82,173,82,173,0.47398843930635837,0.47398843930635837,1.0,0.5260115606936416
167,1,233,321,233,321,0.7258566978193146,0.7258566978193146,1.0,0.27414330218068533
169,0,121,202,121,202,0.599009900990099,0.599009900990099,1.0,0.400990099009901
169,1,175,283,175,283,0.6183745583038869,0.6183745583038869,1.0,0.38162544169611307
173,0,76,181,76,181,0.4198895027624309,0.4198895027624309,1.0,0.580110497237569
173,1,190,296,190,296,0.6418918918918919,0.6418918918918919,1.0,0.3581081081081081
174,0,114,185,114,185,0.6162162162162163,0.6162162162162163,1.0,0.3837837837837838
174,1,132,222,132,222,0.5945945945945946,0.5945945945945946,1.0,0.40540540540540543
176,0,122,209,122,209,0.583732057416268,0.583732057416268,1.0,0.41626794258373206
178,0,58,143,58,143,0.40559440559440557,0.40559440559440557,1.0,0.5944055944055944
178,1,167,241,167,241,0.6929460580912863,0.6929460580912863,1.0,0.3070539419087137
179,0,55,136,55,136,0.40441176470588236,0.40441176470588236,1.0,0.5955882352941176
179,1,180,267,180,267,0.6741573033707865,0.6741573033707865,1.0,0.3258426966292135
180,0,92,194,92,194,0.4742268041237113,0.4742268041237113,1.0,0.5257731958762887
180,1,202,302,202,302,0.6688741721854304,0.6688741721854304,1.0,0.33112582781456956
183,0,99,205,99,205,0.48292682926829267,0.48292682926829267,1.0,0.5170731707317073
183,1,205,312,205,312,0.657051282051282,0.657051282051282,1.0,0.34294871794871795
186,0,96,180,96,180,0.5333333333333333,0.5333333333333333,1.0,0.4666666666666667
186,1,188,303,188,303,0.6204620462046204,0.6204620462046204,1.0,0.3795379537953795
188,0,59,130,59,130,0.45384615384615384,0.45384615384615384,1.0,0.5461538461538461
188,1,156,248,156,248,0.6290322580645161,0.6290322580645161,1.0,0.3709677419354839
191,0,83,163,83,163,0.50920245398773,0.50920245398773,1.0,0.49079754601226994
191,1,188,292,188,292,0.6438356164383562,0.6438356164383562,1.0,0.3561643835616438
25,0,89,158,89,158,0.5632911392405063,0.5632911392405063,1.0,0.43670886075949367
25,1,129,214,129,214,0.602803738317757,0.602803738317757,1.0,0.397196261682243
26,0,177,283,177,283,0.6254416961130742,0.6254416961130742,1.0,0.3745583038869258
27,0,94,190,94,190,0.49473684210526314,0.49473684210526314,1.0,0.5052631578947369
27,1,181,280,181,280,0.6464285714285715,0.6464285714285715,1.0,0.3535714285714286
32,0,99,201,99,201,0.4925373134328358,0.4925373134328358,1.0,0.5074626865671642
32,1,197,316,197,316,0.6234177215189873,0.6234177215189873,1.0,0.37658227848101267
33,0,92,158,92,158,0.5822784810126582,0.5822784810126582,1.0,0.4177215189873418
35,0,77,164,77,164,0.4695121951219512,0.4695121951219512,1.0,0.5304878048780488
35,1,186,272,186,272,0.6838235294117647,0.6838235294117647,1.0,0.3161764705882353
36,0,102,202,102,202,0.504950495049505,0.504950495049505,1.0,0.49504950495049505
36,1,216,336,216,336,0.6428571428571429,0.6428571428571429,1.0,0.35714285714285715
37,0,42,127,42,127,0.33070866141732286,0.33070866141732286,1.0,0.6692913385826772
37,1,139,257,139,257,0.5408560311284046,0.5408560311284046,1.0,0.4591439688715953
38,0,56,124,56,124,0.45161290322580644,0.45161290322580644,1.0,0.5483870967741935
38,1,148,227,148,227,0.6519823788546255,0.6519823788546255,1.0,0.34801762114537443
39,0,73,159,73,159,0.4591194968553459,0.4591194968553459,1.0,0.5408805031446541
39,1,197,298,197,298,0.6610738255033557,0.6610738255033557,1.0,0.3389261744966443
40,0,92,172,92,172,0.5348837209302325,0.5348837209302325,1.0,0.46511627906976744
40,1,194,300,194,300,0.6466666666666666,0.6466666666666666,1.0,0.35333333333333333
43,0,52,118,52,118,0.4406779661016949,0.4406779661016949,1.0,0.559322033898305
43,1,211,290,211,290,0.7275862068965517,0.7275862068965517,1.0,0.27241379310344827
44,0,112,187,112,187,0.5989304812834224,0.5989304812834224,1.0,0.40106951871657753
44,1,110,195,110,195,0.5641025641025641,0.5641025641025641,1.0,0.4358974358974359
44,2,187,294,187,294,0.6360544217687075,0.6360544217687075,1.0,0.36394557823129253
45,0,106,209,106,209,0.507177033492823,0.507177033492823,1.0,0.49282296650717705
45,1,281,406,281,406,0.6921182266009852,0.6921182266009852,1.0,0.3078817733990148
46,0,102,210,102,210,0.4857142857142857,0.4857142857142857,1.0,0.5142857142857142
46,1,205,335,205,335,0.6119402985074627,0.6119402985074627,1.0,0.3880597014925373
50,0,129,238,129,238,0.542016806722689,0.542016806722689,1.0,0.4579831932773109
50,1,187,310,187,310,0.603225806451613,0.603225806451613,1.0,0.3967741935483871
50,2,187,310,187,310,0.603225806451613,0.603225806451613,1.0,0.3967741935483871
50,3,263,431,263,431,0.6102088167053364,0.6102088167053364,1.0,0.38979118329466356
51,0,73,157,73,157,0.46496815286624205,0.46496815286624205,1.0,0.535031847133758
51,1,172,283,172,283,0.607773851590106,0.607773851590106,1.0,0.392226148409894
52,0,117,201,117,201,0.582089552238806,0.582089552238806,1.0,0.417910447761194
52,1,94,195,94,195,0.48205128205128206,0.48205128205128206,1.0,0.517948717948718
52,2,203,326,203,326,0.6226993865030674,0.6226993865030674,1.0,0.3773006134969325
53,0,149,250,149,250,0.596,0.596,1.0,0.404
54,0,77,159,77,159,0.48427672955974843,0.48427672955974843,1.0,0.5157232704402516
54,1,186,311,186,311,0.5980707395498392,0.5980707395498392,1.0,0.40192926045016075
55,0,175,286,175,286,0.6118881118881119,0.6118881118881119,1.0,0.3881118881118881
56,0,147,237,147,237,0.620253164556962,0.620253164556962,1.0,0.379746835443038
57,0,121,205,121,205,0.5902439024390244,0.5902439024390244,1.0,0.4097560975609756
58,0,98,180,98,180,0.5444444444444444,0.5444444444444444,1.0,0.45555555555555555
58,1,179,267,179,267,0.6704119850187266,0.6704119850187266,1.0,0.3295880149812734
59,0,65,156,65,156,0.4166666666666667,0.4166666666666667,1.0,0.5833333333333334
59,1,192,291,192,291,0.6597938144329897,0.6597938144329897,1.0,0.3402061855670103
60,0,120,213,120,213,0.5633802816901409,0.5633802816901409,1.0,0.43661971830985913
60,1,189,320,189,320,0.590625,0.590625,1.0,0.409375
63,0,99,199,99,199,0.49748743718592964,0.49748743718592964,1.0,0.5025125628140703
63,1,162,232,162,232,0.6982758620689655,0.6982758620689655,1.0,0.3017241379310345
64,0,71,147,71,147,0.48299319727891155,0.48299319727891155,1.0,0.5170068027210885
64,1,175,260,175,260,0.6730769230769231,0.6730769230769231,1.0,0.3269230769230769
66,0,141,254,141,254,0.5551181102362205,0.5551181102362205,1.0,0.4448818897637795
68,0,82,158,82,158,0.5189873417721519,0.5189873417721519,1.0,0.4810126582278481
68,1,139,220,139,220,0.6318181818181818,0.6318181818181818,1.0,0.36818181818181817
71,0,79,189,79,189,0.41798941798941797,0.41798941798941797,1.0,0.582010582010582
71,1,283,439,283,439,0.6446469248291572,0.6446469248291572,1.0,0.3553530751708428
72,0,97,202,97,202,0.4801980198019802,0.4801980198019802,1.0,0.5198019801980198
72,1,216,306,216,306,0.7058823529411765,0.7058823529411765,1.0,0.29411764705882354
74,0,79,169,79,169,0.46745562130177515,0.46745562130177515,1.0,0.5325443786982249
74,1,188,292,188,292,0.6438356164383562,0.6438356164383562,1.0,0.3561643835616438
75,0,169,287,169,287,0.5888501742160279,0.5888501742160279,1.0,0.41114982578397213
77,0,164,289,164,289,0.5674740484429066,0.5674740484429066,1.0,0.43252595155709345
77,1,221,367,221,367,0.6021798365122616,0.6021798365122616,1.0,0.3978201634877384
78,0,114,185,114,185,0.6162162162162163,0.6162162162162163,1.0,0.3837837837837838
78,1,130,246,130,246,0.5284552845528455,0.5284552845528455,1.0,0.4715447154471545
79,0,112,207,112,207,0.5410628019323671,0.5410628019323671,1.0,0.45893719806763283
79,1,68,184,68,184,0.3695652173913043,0.3695652173913043,1.0,0.6304347826086957
79,2,213,319,213,319,0.6677115987460815,0.6677115987460815,1.0,0.3322884012539185
80,0,148,241,148,241,0.6141078838174274,0.6141078838174274,1.0,0.38589211618257263
81,0,93,193,93,193,0.48186528497409326,0.48186528497409326,1.0,0.5181347150259067
81,1,216,328,216,328,0.6585365853658537,0.6585365853658537,1.0,0.34146341463414637
82,0,89,186,89,186,0.478494623655914,0.478494623655914,1.0,0.521505376344086
82,1,153,272,153,272,0.5625,0.5625,1.0,0.4375
84,0,94,189,94,189,0.4973544973544973,0.4973544973544973,1.0,0.5026455026455027
84,1,180,269,180,269,0.6691449814126395,0.6691449814126395,1.0,0.3308550185873606
85,0,201,339,201,339,0.5929203539823009,0.5929203539823009,1.0,0.40707964601769914
86,0,96,168,96,168,0.5714285714285714,0.5714285714285714,1.0,0.42857142857142855
86,1,194,297,194,297,0.6531986531986532,0.6531986531986532,1.0,0.3468013468013468
88,0,101,199,101,199,0.507537688442211,0.507537688442211,1.0,0.49246231155778897
88,1,56,145,56,145,0.38620689655172413,0.38620689655172413,1.0,0.6137931034482759
88,2,182,267,182,267,0.6816479400749064,0.6816479400749064,1.0,0.31835205992509363
89,0,102,196,102,196,0.5204081632653061,0.5204081632653061,1.0,0.47959183673469385
89,1,233,342,233,342,0.6812865497076024,0.6812865497076024,1.0,0.31871345029239767
90,0,52,160,52,160,0.325,0.325,1.0,0.675
90,1,187,278,187,278,0.6726618705035972,0.6726618705035972,1.0,0.3273381294964029
90,2,225,357,225,357,0.6302521008403361,0.6302521008403361,1.0,0.3697478991596639
91,0,92,171,92,171,0.5380116959064327,0.5380116959064327,1.0,0.4619883040935672
91,1,233,341,233,341,0.6832844574780058,0.6832844574780058,1.0,0.31671554252199413
93,0,98,196,98,196,0.5,0.5,1.0,0.5
93,1,196,299,196,299,0.6555183946488294,0.6555183946488294,1.0,0.34448160535117056
95,0,107,186,107,186,0.5752688172043011,0.5752688172043011,1.0,0.42473118279569894
96,0,100,182,100,182,0.5494505494505495,0.5494505494505495,1.0,0.45054945054945056
96,1,176,265,176,265,0.6641509433962264,0.6641509433962264,1.0,0.33584905660377357
97,0,71,160,71,160,0.44375,0.44375,1.0,0.55625
97,1,190,280,190,280,0.6785714285714286,0.6785714285714286,1.0,0.32142857142857145
98,0,86,176,86,176,0.48863636363636365,0.48863636363636365,1.0,0.5113636363636364
98,1,159,251,159,251,0.6334661354581673,0.6334661354581673,1.0,0.3665338645418327
